News,predictions
കേരളത്തില്‍ പുരുഷന്മാര്‍ക്ക് രണ്ട് ഭാര്യമാര്‍ നിര്‍ബന്ധമാക്കി,1
പാർട്ടിയുടെ കൊടിക്ക് മഹത്വം ഉണ്ടെന്നും സംരംഭങ്ങളുടെ മുന്നിൽ നാട്ടാനുള്ളതല്ലെന്നും അതെന്നും പി രാജീവ്,0
നവകേരള സദസ്സ്: കാട്ടാക്കട ക്രിസ്ത്യൻ കോളേജ് കവാടവും പൊളിക്കും,3
ശബരിമലയില്‍ അയ്യപ്പ ഭക്തന്‍റെ തല പോലീസ് അടിച്ചുപൊട്ടിച്ചു,2
ബൈക്കുകള്‍ സ്വന്തം ജില്ലയില്‍ മാത്രം ഉപയോഗിക്കാനുള്ള നിയമം വരുന്നു,0
സംസ്ഥാനത്ത് വീടുകളിലെ കിണറുകള്‍ക്ക് കരം ഈടാക്കാന്‍ സംസ്ഥാന സര്‍ക്കാര്‍ തീരുമാനിച്ചു,2
ഇന്ത്യയിലെ മുസ്ലിങ്ങള്‍ യഥാര്‍ത്ഥ മുസ്ലിങ്ങളല്ലെന്ന് ഖത്തര്‍ ഭരണാധികാരി,0
കോട്ടക്കല്‍ നഗരസഭ മുന്‍അദ്ധ്യക്ഷ മുഹ്സിന പൂവന്‍മഠത്തില്‍ മുസ്ലിം ലീഗ് ഉപേക്ഷിച്ച് സി‌പി‌എമ്മില്‍ ചേര്‍ന്നു,2
വെല്‍ഫെയര്‍ പാര്‍ട്ടി പാലസ്തീന്‍ അനുകൂല പ്രകടനത്തില്‍ ഇറ്റലി പതാക ഉപയോഗിച്ചു,0
ഓറിയോ ബിസ്ക്കറ്റ് മുസ്ലിങ്ങള്‍ക്ക് നിഷിദ്ധമാണെന്ന് കമ്പനി ഔദ്യോഗികമായി പ്രഖ്യാപിച്ചു. കാരണം അവ പന്നി ഇറച്ചി പന്നി പാല്‍ എന്നിവ ഉപയോഗിച്ചാണ് നിര്‍മ്മിച്ചിരിക്കുന്നത്. അതിനാല്‍ നിങ്ങളുടെ സുഹൃത്തുകളെ ഷെയര്‍ ചെയ്ത് അറിയിക്കുക,0
കൊടുങ്ങല്ലൂർ ശ്രീ കുറുമ്പ ഭഗവതി ക്ഷേത്രത്തിന്റെ മൂലസ്ഥാനം തച്ചു തകർത്ത ആളുടെ പേര് ഷാജഹാൻ,0
വിരാട് കോഹ്‌ലി ഭാരത് ജോഡോ യാത്രയുടെ ടി ഷര്‍ട്ട് ധരിച്ചു,0
സിനിമ റിവ്യു റിലീസിന് 7 ദിവസത്തിന് ശേഷം മതിയെന്ന് ഹൈകോടതി,0
സംസ്ഥാനത്ത് ഒന്നാം തീയതിയിലെ ഡ്രൈ ഡേ ഒഴിവാക്കി,0
തിരുവിതാംകൂര്‍ ദേവസ്വം ബോര്‍ഡിന് കീഴിലുള്ള ക്ഷേത്രങ്ങളില്‍ വിളക്ക് എണ്ണയും നല്ലെണ്ണയും നിരോധിച്ചു,3
മഞ്ചേശ്വരം എംഎൽഎ കെ എം എ അഷ്റഫ് ആർഎസ്എസ് പരിപാടിയിൽ പങ്കെടുത്തു,0
കെഎസ്ആര്‍ടിസി പമ്പ-നിലയ്ക്കല്‍ ചെയ്ന്‍ സര്‍വീസിന് നിരക്ക് വര്‍ദ്ധപ്പിച്ചു,2
ബയോബാബ് പൂക്കള്‍ 50 വര്‍ഷത്തില്‍ ഒരിക്കല്‍ മാത്രമാണ് വിടരുക,0
ജോഡോ യാത്രക്കിടെ പാര്‍ട്ടി പ്രവര്‍ത്തകര്‍ രഹസ്യമായി മദ്യപിച്ചിട്ടാണ് സഞ്ചരിക്കുന്നത്,0
ഉപതെരഞ്ഞെടുപ്പില്‍ പരാജയപ്പെട്ടാല്‍ രാജിവെക്കുമെന്ന് വി.ഡി.സതീശന്‍,0
മുഖ്യമന്ത്രിയുടെ ദുരിതാശ്വാസ നിധിയില്‍ പണം നല്‍കരുതെന്ന് വി.ഡി.സതീശന്‍,2
കെ.സുരേന്ദ്രന്‍ കേന്ദ്ര മന്ത്രിയായാല്‍ കേരളത്തിന് ഗുണം ചെയ്യുമെന്ന് വി.ഡി.സതീശന്‍,0
ഒറ്റയ്ക്കുള്ള ഷോ വേണ്ടയെന്നും ചാണ്ടി ഉമ്മനോട് എണീറ്റ് പോടായെന്നും പ്രതിപക്ഷ നേതാവ് വി.ഡി.സതീശന്‍,2
യുദ്ധസാഹചര്യത്തിനിടെ യുക്രെയ്നിലെത്തിയ മോദിയ്ക്ക് ലഭിച്ച ഊഷ്മള വരവേല്‍പ്പ്.,0
മോദി സർക്കാരിന്‍റെയും മന്ത്രിമാരുടെയും ബ്രിട്ടനിലെ രഹസ്യ ബാങ്ക് അക്കൗണ്ടുകളിൽ കിടക്കുന്ന പണത്തിന്‍റെ വിവരങ്ങൾ വിക്കിലീക്സ് വെളിപ്പെടുത്തി,0
എട്ടാം ക്‌ളാസ് വരെ മാത്രമേ താൻ പഠിച്ചിട്ടുള്ളൂവെന്ന് മോദി തന്നെ സമ്മതിച്ചിട്ടുണ്ട്.,0
മോദി സമാധാനത്തിന്റെ വിളക്കെന്ന് സിപിഎം നേതാവ് സുഭാഷിണി അലി,0
കോൺഗ്രസ്സ് അധികാരത്തിലെത്തിയാൽ സ്വത്തിന്മേല്‍ പിന്തുടർച്ചാ നികുതി (ഇൻഹെറിറ്റൻസ് ടാക്‌സ്) നടപ്പാക്കുമെന്ന് നരേന്ദ്ര മോദി ആരോപിച്ചു,0
പ്രധാനമന്ത്രി നരേന്ദ്ര മോദി എല്ലാ ഇന്ത്യൻ ഉപയോക്താക്കൾക്കും മൂന്നു മാസത്തെ സൗജന്യ റീചാർജ് നൽകുന്നു,0
അയോധ്യയില്‍ സന്ദര്‍ശനത്തിനെത്തിയ പ്രധാനമന്ത്രി മോദി രാമക്ഷേത്രം നിര്‍മിക്കുന്ന തൊഴിലാളികള്‍ക്കൊപ്പം ഉച്ചഭക്ഷണം കഴിച്ചു,0
ബാന്ദ്ര-വർളി സീ ലിങ്ക് നിർമ്മിച്ചത് പ്രധാനമന്ത്രി നരേന്ദ്ര മോദിയുടെ കാലത്ത്,1
അടുത്തിടെ തുർക്കിയിലുണ്ടായ ഭൂകമ്പത്തിന് ശേഷം ഇന്ത്യ നൽകിയ സമയോചിതമായ സഹായത്തിനുള്ള നന്ദി സൂചകമായി പ്രധാനമന്ത്രി നരേന്ദ്ര മോദിയുടെ പേരിൽ തുർക്കി സർക്കാർ പ്രത്യേക സ്റ്റാമ്പ് പുറത്തിറക്കി.,0
സമാധാനത്തിന്റെ നൊബേൽ സമ്മാനത്തിനുള്ള പരിഗണന പട്ടികയിൽ മോദിയും,0
ഹിമാചലിൽ ബിജെപി റാലിയിൽ ആളില്ലാത്തതിനാല്‍ നരേന്ദ്ര മോദി പങ്കെടുത്തില്ല,0
പ്രധാനമന്ത്രി നരേന്ദ്ര മോദിക്ക് പിറന്നാള്‍ ആശംസകള്‍ നല്‍കി ഖലീജ് ടൈംസ്‌ പ്രത്യേക പതിപ്പ് ഇറക്കി,0
കലാമിന്റെയും വാജ്‌പേയിയുടെയും പേരിൽ പ്രധാനമന്ത്രി സ്‌കോളർഷിപ്പ് പ്രഖ്യാപിച്ചു,0
പ്രധാനമന്ത്രി നരേന്ദ്ര മോദി കസേരയില്‍ ഇരിക്കുമ്പോള്‍ രാഷ്‌ട്രപതി രാമനാഥ് കോവിന്ദിനെ തന്‍റെ പിന്നില്‍ തൃശൂലം പിടിച്ച് നിറുത്തി,0
പ്രധാനമന്ത്രി നരേന്ദ്ര മോദിയുടെ ചിത്രം വെച്ച് തിരുവനന്തപുരം സര്‍ക്കാര്‍ എഞ്ചിനീയറിംഗ് കോളേജിലെ ടോപ്പര്‍മാരെ അഭിനന്ദനങ്ങള്‍ അര്‍പ്പിക്കുന്ന ബാനര്‍,0
"സിപിഎം തൃശൂർ ജില്ലാ കമ്മറ്റി ഭാരവാഹികൾ, ജില്ലയിലെ സിപിഎം പ്രവർത്തകർ എന്നിവരോട് തീർത്താൽ തീരാത്ത കടപ്പാട് സുരേഷ് ഗോപി",0
"ബിജെപിക്ക് മൂന്ന് സീറ്റ് വരെ ലഭിക്കാന്‍ സാധ്യത ഉണ്ട്, അത് തൃശൂരും തിരുവനന്തപുരവും ആറ്റിങ്ങലും ആയിരിക്കും, എക്സിറ്റ് പോള്‍ ഒരിക്കലും തെറ്റില്ല",3
തൃശൂരില്‍ ഗോപി പണി തുടങ്ങി. വിവാദ നായകനെ പുറത്താക്കി തൃശൂരിന് ആദ്യ സമ്മാനം,0
ബിജെപി നേതാവും ലോക്‌സഭ തെരഞ്ഞെടുപ്പില്‍ തൃശൂര്‍ എന്‍ഡിഎ സ്ഥാനാര്‍ത്ഥിയുമായ സുരേഷ് ഗോപിയെ എല്‍ഡിഎഫ് സര്‍ക്കാര്‍ കൊച്ചി മെട്രോയുടെ ബ്രാന്‍ഡ് അംബാസിഡറായി തിരഞ്ഞെടുത്തു,3
ശരിയത്ത് നിയമം ഇന്ത്യന്‍ ഭരണഘടനയേക്കാള്‍ മികച്ചതെന്ന് തൃശൂര്‍ എം.പി. ടി.എന്‍. പ്രതാപന്‍,0
തലശ്ശേരിയിലെ മുസ്ലിം കുടുംബത്തിന്റെ പിന്തുണ ഹിന്ദു വോട്ടുകൾ അകലാൻ കാരണമായെന്ന് കെകെ ശൈലജ.,2
കൂടെ നില്‍ക്കുന്നു എന്ന തോന്നലുണ്ടാക്കി പല നേതാക്കളും പിന്നില്‍ നിന്നും കുത്തി. വടകരിയില്‍ പ്രതീക്ഷയില്ലെന്നും കെ.കെ.ശൈലജ.,3
"'ലവ് ജിഹാദ് ഉണ്ട്, ധാരാളം മുസ്ലിം ചെറുപ്പക്കാർ ഹിന്ദു, ക്രിസ്ത്യൻ പെൺകുട്ടികളെ ലവ് ജിഹാദിൽ പെടുത്തിയതായി കെ കെ ശൈലജ പറഞ്ഞു.",2
പതിനായിരക്കണക്കിന് സ്ത്രീകൾ അണിനിരന്ന സംഗമങ്ങൾ ശൈലജ ടീച്ചർക്ക് വേണ്ടി ഇടതുപക്ഷം നടത്തിയിട്ടുണ്ട്,1
പുരാവസ്തു തട്ടിപ്പ് കേസില്‍ അറസ്റ്റിലായ മോന്‍സണ്‍ മാവുങ്കലിനൊപ്പം നില്‍ക്കുന്ന സിപിഎമ്മിന്റെ മുന്‍ എംഎല്‍എ എം.സ്വരാജ്.,2
കെ സുധാകരൻ പിതൃതുല്യനെന്നും അച്ഛനെന്ന് വിളിക്കാൻ കൊതിയെന്നും സന്ദീപ് വാര്യർ പറഞ്ഞതായുള്ള വാർത്താ കാർഡ്.,0
ശാന്തിവിള ദിനേശ് ലൈംഗികമായി ഉപയോഗിച്ചുവെന്ന് ഭാഗ്യലക്ഷ്മി വെളിപ്പെടുത്തിയതായി വാർത്ത.,0
ഹോം ഡെലിവറിയായി ബെവ്കോ മദ്യം വീട്ടിലെത്തിക്കുമെന്ന വാര്‍ത്ത നല്‍കിയിരിക്കുന്ന കൈരളി ന്യൂസ് സ്ക്രീന്‍ഷോട്ട്,0
ന്യൂസ് 18 കേരള പ്രവര്‍ത്തനം അവസാനിപ്പിച്ചു,0
റോബോട്ടിക്ക് ആനയിൽ നിന്ന് ഷോക്കടിച്ച് തമിഴ്നാട്ടിൽ 4 മരണം,0
നവകേരള യാത്രയിലെ അമിത ഭക്ഷണത്തെ തുടര്‍ന്ന് മന്ത്രി എ.കെ ശശീന്ദ്രന് 'ദഹനക്കേട്',2
ഷൂ എറിയാൻ യൂത്ത് കോൺഗ്രസ് പ്രവർത്തകരോട് പറഞ്ഞത് 24 ന്യൂസ് റിപ്പോർട്ടർ,0
സൂരജ് സന്തോഷിനെ ഗായകരുടെ സംഘടനയിൽ നിന്നും പുറത്താക്കി ,0
'മാസപ്പടി' വിവാദത്തില്‍ വാര്‍ത്ത നല്‍കരുതെന്ന് കേരള പത്രപ്രവര്‍ത്തക യൂണിയന്റെ നിര്‍ദ്ദേശം.,3
കേരളത്തിലെ ബിജെപിയുടെ ഒരു സീറ്റ് പോലും നഷ്ടപ്പെടുത്താന്‍ സിപിഎമ്മിന് കഴിയില്ല.. വെല്ലുവിളിയുമായി കെ.സുരേന്ദ്രന്‍ ,3
മാധ്യമ പ്രവര്‍ത്തകന്‍ ശ്രീകണ്ഠന്‍ നായരുടെ മകന്‍ ബാംഗ്ലൂരില്‍ ലഹരിവസ്തുക്കളുമായി അറസ്റ്റിലായി.,2
"മതേതര കേരളത്തിന്റെ ഇലക്ട്രിസിറ്റി ബില്ലിംഗ് മെത്തേഡ്... ക്രിസ്ത്യൻ പള്ളി - 2.85/-, മസ്ജിദ്- 2.85/-, ക്ഷേത്രത്തിനു യൂണിറ്റ് - 8 രൂപ",4
കേരളത്തിലെ ഫെഡറല്‍ ബാങ്കുകളില്‍ ജൂനീയര്‍ മാനേജ്മെന്‍റ് തസ്തികളിലേയ്ക്ക് അപേക്ഷ ക്ഷണിച്ചു,2
കേരള പോലീസ് സേനയിൽ മുസ്ലിം പോലീസ് മാത്രം ആയി PSC റിക്രൂട്ട്മെന്‍റ്’,3
തിരഞ്ഞെടുപ്പിൽ ബിജെപി ജയിച്ചാൽ രാജ്യത്തെ ഭൂപടത്തിൽ അവശേഷിപ്പിക്കില്ലെന്ന് രാഹുൽ ഗാന്ധി,0
കേരളത്തിലും ഹമാസ് ശക്തി പ്രാപിക്കുന്നുവെന്നും പിന്തുണച്ച് പരസ്യമായി പ്രകടനം,0
കുട്ടികളുടെ ഓണ്‍ലൈന്‍ ഉപയോഗം സംശയമുണര്‍ത്തുന്നുണ്ടെങ്കില്‍ കേരള പോലീസിനെ അറിയിക്കാന്‍ ഒരു ഫോണ്‍ നമ്പര്‍ ആരംഭിച്ചിട്ടുണ്ട്,2
ക്യൂബയില്‍ നിന്നും 5 ലക്ഷം ഡോസ് കോവിഡ് വാക്‌സീന്‍ കേരളത്തില്‍ എത്തിച്ചു,0
ആരോഗ്യ കേരളത്തില്‍ താത്ക്കാലിക ഡ്രൈവര്‍ നിയമനം നടത്തുന്നു,0
"ഭരണഘടനയുടെ ആർട്ടിക്കിൾ 30 A മോദി റദ്ദാക്കും. ഈ ആർട്ടിക്കിൾ അനുസരിച്ച് വിദ്യാഭ്യാസ സ്ഥാപനങ്ങളിൽ ഹിന്ദു മതം പഠിപ്പിക്കാൻ ഹിന്ദു സമൂഹത്തിന് അനുവാദമില്ല, അതേസമയം മുസ്ലീം സമുദായത്തിന് മദ്രസകളിൽ അവരുടെ മതപാഠങ്ങൾ പഠിപ്പിക്കാനുള്ള അവകാശം നൽകുന്നു.",1
"'എസ്സി/എസ്ടി, ഒബിസി സംവരണം ഭരണഘടന വിരുദ്ധം. ബിജെപി അധികാരത്തിൽ എത്തിയാൽ അത് അവസാനിപ്പിക്കും: അമിത് ഷാ'",0
രാത്രിയില്‍ സ്ത്രീകളെ ലക്ഷ്യസ്ഥാനത്തെത്തിക്കാന്‍ പ്രത്യേക പദ്ധതിയുമായി പൊലീസ്.,0
അമ്മിക്കല്ല് വില്‍പ്പനക്കാരിയായ യുവതി പൊലീസ് ഓഫിസറായി മാറി.,2
മരിച്ച സ്ത്രീയുടെ പേരില്‍ കള്ള വോട്ട് ചെയ്യാനെത്തിയ ലീഗ് പ്രവര്‍ത്തകനെ പിടികൂടി,0
മലങ്കര ഓർത്തഡോക്‌സ് സുറിയാനി സഭ പൈതൃക സമ്മേളനം സിനിമാ താരവും മലങ്കര നസ്യാണികളുടെ വനിതാ രത്നവുമായ ഹണി റോസ് ഉത്ഘാടനം ചെയ്യും.,0
അലക്കിക്കൊണ്ടിരുന്ന സ്ത്രീ പെട്ടെന്ന് ഭൂമിക്കടിയിലേക്ക് താഴ്ന്നുപോയി ഞെട്ടലോടെ ഇരിക്കൂർ നിവാസികൾ,0
രോഗിയായ മകളുടെ ശരീരത്തില്‍ കയറ്റുന്ന ബ്ലഡ് ബാഗ് കൈയ്യില്‍ പിടിച്ചു നിൽക്കുന്ന സ്ത്രീയുടെ ചിത്രം ഗുജറാത്തിൽ നിന്നെന്ന പേരിൽ,0
കേംബ്രിഡ്ജ് ഡിക്ഷണറി സ്ത്രീയുടെ നിര്‍വചനം മാറ്റി.,2
ബുർക്ക ധരിച്ച ഒരു സ്ത്രീ ഹൈന്ദവ വിഗ്രഹങ്ങൾ പൊട്ടിക്കുന്നതിന്റെ വീഡിയോ കേരളത്തിൽനിന്നുള്ളതാണ്.,3
നൂറ്റിയൊന്നാം വയസ്സിൽ കുഞ്ഞിന് ജന്മം നൽകിയ സ്ത്രീ ഗിന്നസ് റെക്കോർഡിൽ സ്ഥാനം പിടിച്ചു.,0
ചൈന മനുഷ്യന്‍റെ അതെ ഗുണഗണങ്ങളോടുകൂടിയ കൃത്രിമ സ്ത്രീയെ നിര്‍മ്മിച്ചു,0
"സംസ്‌ഥാനത്തെ മുസ്ലിം വനിതാ അധ്യാപകർക്ക് രണ്ടു പ്രസവത്തിനു 15,000 രൂപ",0
സർക്കാർ ദുരിതാശ്വാസ നിധിയിൽ നിന്ന് കെഎസ്എഫ്ഇ വഴി വിദ്യാര്‍ത്ഥികള്‍ക്ക് ലാപ്ടോപ്പ് വാങ്ങാന്‍ പണം നല്‍കി ഫണ്ട് ദുരുപയോഗവും അഴിമതിയും നടത്തി,3
രാഹുല്‍ ഗാന്ധി ഭാരതത്തില്‍ സാമ്പത്തിക സര്‍വേ നടത്തി ആരുടെ കൈയില്‍ എത്ര പണമുണ്ട് എന്ന് കണ്ടെത്തും എനിട്ട്‌ ഈ പണം ന്യുനപക്ഷങ്ങള്‍ക്ക് വിതരണം ചെയ്യും,0
പാലസ്തീനുകാർ പണം പിരിക്കാൻ ശവശരീരമായി അഭിനയിക്കുന്നു.,0
ഭാരത് ജോഡോ യാത്രയ്ക്ക് എത്തിയ കോണ്‍ഗ്രസ് പ്രവര്‍ത്തര്‍ ചായക്കടയില്‍ നിന്നും ഭക്ഷണം കഴിച്ച ശേഷം പണം നല്‍കാതെ മുങ്ങി,0
ഭക്ഷണം കഴിച്ച് പണം നല്‍കാതെ മടങ്ങിയ ശേഷമാണ് പി.പി.ചിത്തരഞ്ജന്‍ എംഎല്‍എ റെസ്റ്റോറന്‍റിനെതിരെ പരാതി നല്‍കിയത്,0
ആടിനെ വിറ്റ പണം ദുരിതാശ്വാസനിധിയില്‍ നല്കിയ സുബൈദയുടെ വീട്ടില്‍ കെ റെയില്‍ കുറ്റി സ്ഥാപിച്ചു,0
എസ്ബിഐ ഉപഭോക്താക്കൾക്ക് നാളെ മുതൽ മാസത്തിൽ നാല് തവണ മാത്രമേ സൗജന്യ എടിഎം ഉപയോഗിക്കാൻ പറ്റൂ. പിന്നീടുള്ള ഓരോ ഇടപാടിനും 15 രൂപയും ജിഎസ്ടിയും സ്വന്തം പോക്കറ്റിൽ നിന്ന് ബാങ്കിന് അങ്ങോട്ട് കൊടുക്കണം.,2
രാഹുൽ ഗാന്ധിയുടെ ഭാര്യയും മക്കളുമൊത്ത് അദ്ദേഹം നിൽക്കുന്നു,0
ഭാര്യയുടെ ഗര്‍ഭത്തില്‍ സംശയിച്ച് അവളെ വനത്തില്‍ ഉപേക്ഷിച്ച രാമന്‍ ഒരു ദൈവമാണെന്ന് കരുതുന്നില്ല. അയോധ്യയില്‍ പ്രതിഷ്ഠിക്കുന്നത് BJPയുടെ രാഷ്ട്രീയ രാമനെ… ഉര്‍വ്വശി”,0
പ്രധാനമന്ത്രി അദാനിയുടെ ഭാര്യയെ താണുവണങ്ങുന്നു,0
നിലമ്പൂര്‍ അകമ്പാടം റൂട്ടിലുള്ള പെട്രോള്‍ പമ്പില്‍ ദേ ഒരു സിങ്കം ഉല്ലാസയാത്ര ചെയ്യുന്നു,0
ഇതില്‍ യൂത്ത് ലീഗിന് സന്ദീപ് വാര്യരെ യുഡിഎഫില്‍ എടുത്തതില്‍ അതൃപ്തിയുണ്ടെന്ന് യൂത്ത് ലീഗ് സംസ്ഥാന ജനറല്‍ സെക്രട്ടറി പ്രസംഗിക്കുന്നു,0
നെഹ്രു കുടുംബം മുസ്ലിം സമുദായത്തില്‍ നിന്നുള്ളവരാണ്,2
കൃപാസാനം ആരാധനാലയത്തിന് വേണ്ടി കെഎസ്ആര്‍ടിസി സൗജന്യ സര്‍വീസ്,3
പ്രീയങ്ക ഗാന്ധിയുടെ റോഡ് ഷോയ്ക്കിടെ മുസ്ലിം ലീഗ് പ്രവര്‍ത്തകരെ തള്ളിമാറ്റി,0
കെ.സുധാകരന്‍ ജെബി മേത്തര്‍ എംപിയോടൊപ്പം വേള്‍ഡ് ടൂറിന് പോകുന്നു,0
സ്വാതന്ത്ര്യദിനാഘോഷത്തിനിടെ ദേശീയപതാകയുടെ കെട്ടഴിക്കാന്‍ സഹായിക്കുന്ന കാക്ക.,0
വയനാടിനായി മുഖ്യമന്ത്രിയുടെ ദുരിതാശ്വാസനിധിയിലേക്ക് ഡിവൈഎഎഫ്ഐ 10.95 കോടി രൂപ നല്‍കി,3
കേരളത്തില്‍ ഗോവധ നിരോധനം നടപ്പിലാക്കുമെന്ന് പ്രയിങ്ക ഗാന്ധി,0
സ്വിറ്റ്സര്‍ലന്‍ഡില്‍ 84 വര്‍ഷങ്ങള്‍ക്ക് ശേഷം കമ്മ്യൂണിസ്റ്റ് പാര്‍ട്ടി അധികാരത്തി,2
വേൾഡ് കപ്പ് ഫൈനലിനിടെ രഥത്തിൽ സ്റ്റേഡിയം വലംവെച്ച് മോദി.,0
പ്രധാനമന്ത്രി നരേന്ദ്ര മോദിക്കെതിരെ നടന്ന നഗ്ന പ്രതിഷേധം.,1
